rank,year,airport,code,location,country,total_passengers,address,latitude,longitude,lat_lng
1,2015,Hartsfield Jackson Atlanta International Airport,ATL/KATL,"Atlanta, Georgia",United States,101491106,"Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA",33.6407282,-84.4277001,"[33.6407282, -84.4277001]"
2,2015,Beijing Capital International Airport,PEK/ZBAA,"Chaoyang-Shunyi, Beijing",China,89938628,"Beijing Capital International Airport (PEK), Shunyi, Beijing Shi, China",40.0798573,116.6031121,"[40.0798573, 116.6031121]"
3,2015,Dubai International Airport,DXB/OMDB,"Garhoud, Dubai",United Arab Emirates,78014841,Dubai International Airport (DXB) - Dubai - United Arab Emirates,25.2531745,55.3656728,"[25.2531745, 55.3656728]"
4,2015,O'Hare International Airport,ORD/KORD,"Chicago, Illinois",United States,76942493,"O'Hare International Airport (ORD), 10000 W O'Hare Ave, Chicago, IL 60666, USA",41.9741625,-87.9073214,"[41.9741625, -87.9073214]"
5,2015,Tokyo Haneda Airport,HND/RJTT,"Ota, Tokyo",Japan,75316718,"Haneda Airport (HND), Hanedakuko, Ota City, Tokyo 144-0041, Japan",35.5493932,139.7798386,"[35.5493932, 139.7798386]"
6,2015,London Heathrow Airport,LHR/EGLL,"Hillingdon, London",United Kingdom,74989795,"Heathrow Airport (LHR), Longford TW6, UK",51.4700223,-0.4542955,"[51.4700223, -0.4542955]"
7,2015,Los Angeles International Airport,LAX/KLAX,"Los Angeles, California",United States,74937004,"Los Angeles International Airport (LAX), 1 World Way, Los Angeles, CA 90045, USA",33.9415889,-118.40853,"[33.9415889, -118.40853]"
8,2015,Hong Kong International Airport,HKG/VHHH,"Chek Lap Kok, Hong Kong",China,68283407,"Hong Kong International Airport (HKG), 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",22.308047,113.9184808,"[22.308047, 113.9184808]"
9,2015,Paris-Charles de Gaulle Airport,CDG/LFPG,"Roissy-en-France, Île-de-France",France,65766986,"Charles de Gaulle Airport (CDG), 95700 Roissy-en-France, France",49.0096906,2.5479245,"[49.0096906, 2.5479245]"
10,2015,Dallas/Fort Worth International Airport,DFW/KDFW,"Dallas-Fort Worth, Texas",United States,65512163,"DFW International Airport (DFW), 2400 Aviation Dr, DFW Airport, TX 75261, USA",32.8998091,-97.0403352,"[32.8998091, -97.0403352]"
11,2015,Istanbul Atat rk Airport,IST/LTBA,"Yesilköy, Istanbul",Turkey,61836781,"Yeşilköy, Istanbul Ataturk Airport (ISL), 34149 Bakırköy/İstanbul, Turkey",40.9829888,28.8104425,"[40.9829888, 28.8104425]"
12,2015,Frankfurt Airport,FRA/EDDF,"Frankfurt, Hesse",Germany,61032022,"Frankfurt Airport (FRA), 60547 Frankfurt am Main, Germany",50.0379326,8.562151799999999,"[50.0379326, 8.562151799999999]"
13,2015,Shanghai Pudong International Airport,PVG/ZSPD,"Pudong, Shanghai",China,60053387,"Shanghai Pudong International Airport (PVG), S1 Yingbin Expy, Pudong Xinqu, Shanghai Shi, China",31.1443439,121.808273,"[31.1443439, 121.808273]"
14,2015,Amsterdam Airport Schiphol,AMS/EHAM,"Haarlemmermeer, North Holland",The Netherlands,58284864,"Amsterdam Airport Schiphol (AMS), Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands",52.3105386,4.7682744,"[52.3105386, 4.7682744]"
15,2015,John F. Kennedy International Airport,JFK/KJFK,"Queens, New York",United States,56827154,"John F. Kennedy International Airport (JFK), Queens, NY 11430, USA",40.6413111,-73.77813909999999,"[40.6413111, -73.77813909999999]"
16,2015,Singapore Changi Airport,SIN/WSSS,Changi,Singapore,55449000,"Airport Blvd, Changi Airport Singapore (SIN), Singapore",1.3644202,103.9915308,"[1.3644202, 103.9915308]"
17,2015,Guangzhou Baiyun International Airport,CAN/ZGGG,"Baiyun-Huadu, Guangzhou, Guangdong",China,55201915,"Guangzhou Baiyun International Airport (CAN), Baiyun, Guangzhou Shi, Guangdong Sheng, China",23.3959079,113.3079699,"[23.3959079, 113.3079699]"
18,2015,Soekarno-Hatta International Airport,CGK/WIII,"Tangerang, Banten",Indonesia,54053905,"Soekarno-Hatta International Airport (CGK), Kota Tangerang, Banten 19120, Indonesia",-6.1275282,106.6537058,"[-6.1275282, 106.6537058]"
19,2015,Denver International Airport,DEN/KDEN,"Denver, Colorado",United States,54014502,"Denver International Airport (DEN), 8500 Peña Blvd, Denver, CO 80249, USA",39.8560963,-104.6737376,"[39.8560963, -104.6737376]"
20,2015,Suvarnabhumi Airport,BKK/VTBS,"Bang Phli, Samut Prakan",Thailand,52808013,"Suvarnabhumi Airport (BKK), 999 Soi Mu Ban Nakhon Thong 1, Nong Prue, Amphoe Bang Phli, Chang Wat Samut Prakan 10540, Thailand",13.6899991,100.7501124,"[13.6899991, 100.7501124]"
21,2015,San Francisco International Airport,SFO/KSFO,"San Mateo County, California",United States,50057887,"San Francisco International Airport (SFO), San Francisco, CA 94128, USA",37.6213129,-122.3789554,"[37.6213129, -122.3789554]"
22,2015,Seoul Incheon International Airport,ICN/RKSI,Incheon,Republic of Korea,49412750,"Incheon International Airport (ICN), 272 Gonghang-ro, Jung-gu, Incheon, South Korea",37.4601908,126.4406957,"[37.4601908, 126.4406957]"
23,2015,Kuala Lumpur International Airport,KUL/WMKK,"Sepang, Selangor",Malaysia,48938424,"Kuala Lumpur Int'l Airport (KUL), 64000 Sepang, Selangor, Malaysia",2.7455962,101.7071602,"[2.7455962, 101.7071602]"
24,2015,Madrid Barajas Airport,MAD/LEMD,"Barajas, Madrid",Spain,46779554,"Madrid-Barajas Adolfo Suárez Airport (MAD), Av de la Hispanidad, s/n, 28042 Madrid, Spain",40.4983322,-3.5675982,"[40.4983322, -3.5675982]"
25,2015,Indira Gandhi International Airport,DEL/VIDP,Delhi,India,45981773,"Indira Gandhi International Airport (DEL), New Delhi, Delhi 110037, India",28.5561624,77.0999578,"[28.5561624, 77.0999578]"
26,2015,McCarran International Airport,LAS/KLAS,"Las Vegas, Nevada",United States,45356580,"McCarran International Airport (LAS), 5757 Wayne Newton Blvd, Las Vegas, NV 89119, USA",36.0839998,-115.1537389,"[36.0839998, -115.1537389]"
27,2015,Charlotte Douglas International Airport,CLT/KCLT,"Charlotte, North Carolina",United States,44876627,"Charlotte Douglas International Airport (CLT), 5501 Josh Birmingham Pkwy, Charlotte, NC 28208, USA",35.2144026,-80.9473146,"[35.2144026, -80.9473146]"
28,2015,Miami International Airport,MIA/KMIA,"Miami-Dade County, Florida",United States,44350247,"Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA",25.7958723,-80.2870509,"[25.7958723, -80.2870509]"
29,2015,Phoenix Sky Harbor International Airport,PHX/KPHX,"Phoenix, Arizona",United States,44003840,"Phoenix Sky Harbor International Airport (PHX), 3400 E Sky Harbor Blvd, Phoenix, AZ 85034, USA",33.4372686,-112.0077881,"[33.4372686, -112.0077881]"
30,2015,George Bush Intercontinental Airport,IAH/KIAH,"Houston, Texas",United States,43023224,"George Bush Intercontinental Airport (IAH), 2800 N Terminal Rd, Houston, TX 77032, USA",29.9902199,-95.3367827,"[29.9902199, -95.3367827]"
31,2015,Seattle-Tacoma International Airport,SEA/KSEA,"SeaTac, Washington",United States,42340461,"Seattle-Tacoma International Airport (SEA), 17801 International Blvd, Seattle, WA 98158, USA",47.4502499,-122.3088165,"[47.4502499, -122.3088165]"
32,2015,Chengdu Shuangliu International Airport,CTU/ZUUU,"Shuangliu-Wuhou, Chengdu, Sichuan",China,42244842,"Chengdu Shuangliu International Airport (CTU), Shuangliu, Chengdu Shi, Sichuan Sheng, China",30.567456,103.9492936,"[30.567456, 103.9492936]"
33,2015,Toronto Pearson International Airport,YYZ/CYYZ,"Mississauga, Ontario",Canada,41036847,"Toronto Pearson International Airport (YYZ), 6301 Silver Dart Dr, Mississauga, ON L5P 1B2, Canada",43.67771760000001,-79.6248197,"[43.67771760000001, -79.6248197]"
34,2015,Munich Airport,MUC/EDDM,"Freising, Bavaria",Germany,40981522,"Munich International Airport (MUC), Nordallee 25, 85356 München, Germany",48.3536621,11.7750279,"[48.3536621, 11.7750279]"
35,2015,Chhatrapati Shivaji International Airport,BOM/VABB,"Mumbai, Maharashtra",India,40637377,"Chhatrapati Shivaji International Airport (BOM), Mumbai, Maharashtra 400099, India",19.0895595,72.8656144,"[19.0895595, 72.8656144]"
36,2015,Leonardo da Vinci Fiumicino Airport,FCO/LIRF,"Fiumicino, Lazio",Italy,40422156,"Leonardo da Vinci International Airport (FCO), Via dell' Aeroporto di Fiumicino, 00054 Fiumicino RM, Italy",41.7998868,12.2462384,"[41.7998868, 12.2462384]"
37,2015,London Gatwick Airport,LGW/EGKK,"Crawley, West Sussex",United Kingdom,40271343,"Gatwick Airport (LGW), Horley, Gatwick RH6 0NP, UK",51.1536621,-0.1820629,"[51.1536621, -0.1820629]"
38,2015,Sydney Kingsford-Smith Airport,SYD/YSSY,"Mascot, Sydney, New South Wales",Australia,39914103,"Sydney Airport (SYD), Sydney NSW 2020, Australia",-33.9399228,151.1752764,"[-33.9399228, 151.1752764]"
39,2015,Shenzhen Bao'an International Airport,SZX/ZGSZ,"Bao'an, Shenzhen, Guangdong",China,39721619,"Shenzhen Bao'an International Airport, Baoan Qu, Shenzhen Shi, Guangdong Sheng, China",22.636828,113.814606,"[22.636828, 113.814606]"
40,2015,Barcelona El Prat Airport,BCN/LEBL,Barcelona,Spain,39674095,"Josep Tarradellas Barcelona-El Prat Airport (BCN), 08820 El Prat de Llobregat, Barcelona, Spain",41.297445,2.0832941,"[41.297445, 2.0832941]"
41,2015,S o Paulo-Guarulhos International Airport,GRU/SBGR,"Guarulhos, São Paulo",Brazil,39213865,"Sao Paulo International Airport (GRU) - Rod. Hélio Smidt, s/nº - Aeroporto, Guarulhos - SP, 07190-100, Brazil",-23.4305731,-46.473043,"[-23.4305731, -46.473043]"
42,2015,Shanghai Hongqiao International Airport,SHA/ZSSS,"Changning-Minhang, Shanghai",China,39090699,"Shanghai Hongqiao International Airport, 2550 Hongqiao Rd, Changning, China",31.192209,121.334297,"[31.192209, 121.334297]"
43,2015,Orlando International Airport,MCO/KMCO,"Orlando, Florida",United States,38727749,"Orlando International Airport (MCO), 1 Jeff Fuqua Blvd, Orlando, FL 32827, USA",28.4311577,-81.308083,"[28.4311577, -81.308083]"
44,2015,Taiwan Taoyuan International Airport,TPE/RCTP,"Dayuan, Taoyuan",Taiwan,38473333,"Taiwan Taoyuan International Airport (TPE), No. 9, Hangzhan S Rd, Dayuan District, Taoyuan City, Taiwan 33758",25.0796514,121.234217,"[25.0796514, 121.234217]"
45,2015,Benito Ju rez International Airport,MEX/MMMX,"Venustiano Carranza, Mexico City",Mexico,38433288,"Mexico City International Airport (MEX), Av Capitan Carlos León S/N, Peñón de los Baños, Venustiano Carranza, 15620 Ciudad de México, CDMX, Mexico",19.4360762,-99.07190829999999,"[19.4360762, -99.07190829999999]"
46,2015,Kunming Changshui International Airport,KMG/ZPPP,"Guandu, Kunming, Yunnan",China,37523345,"China, Kunming Shi, Guandu Qu, 长水国际机场",25.093927,102.930489,"[25.093927, 102.930489]"
47,2015,Newark Liberty International Airport,EWR/KEWR,"Newark, New Jersey",United States,37494704,"Newark Liberty International Airport (EWR), 3 Brewster Rd, Newark, NJ 07114, USA",40.6895314,-74.1744624,"[40.6895314, -74.1744624]"
48,2015,Narita International Airport,NRT/RJAA,"Narita, Chiba",Japan,37268307,"Narita International Airport (NRT), 1-1 Furugome, Narita, Chiba 282-0004, Japan",35.7719867,140.3928501,"[35.7719867, 140.3928501]"
49,2015,Ninoy Aquino International Airport,MNL/RPLL,"Pasay/Parañaque, Metro Manila",Philippines,36583459,"Ninoy Aquino International Airport (MNL), Pasay, 1300 Metro Manila, Philippines",14.5122739,121.016508,"[14.5122739, 121.016508]"
50,2015,Minneapolis/St Paul International Airport,MSP/KMSP,"St. Paul, Minnesota",United States,36556281,"Minneapolis−Saint Paul International Airport (MSP), Minnesota, USA",44.8847554,-93.2222846,"[44.8847554, -93.2222846]"
